Implementation,MatrixSize,BlockSize,ExecutionTime(ms),Verified
naive,128,8,202.2291,通过
naive,128,16,0.0167,通过
naive,128,32,0.0172,通过
shared,128,8,0.0265,通过
shared,128,16,0.0234,通过
shared,128,32,0.0261,通过
naive,512,8,3.6909,通过
naive,512,16,0.0652,通过
naive,512,32,0.0692,通过
shared,512,8,0.0853,通过
shared,512,16,0.0724,通过
shared,512,32,0.1165,通过
naive,1024,8,4.0573,通过
naive,1024,16,0.3341,通过
naive,1024,32,0.4102,通过
shared,1024,8,0.3582,通过
shared,1024,16,0.3140,通过
shared,1024,32,0.2953,通过
naive,2048,8,6.5846,失败
shared,2048,8,2.3035,失败
